id,name,description,label
958,15696045 14847407 14859960 14783914 14782100 15635588 14726332 14728344,14858113 14717871 14782384 15710612 14844578 14720387 14782848 14785451 14849935 14782359 14925757 15706282 15636660 14976901,14924216 14781104 14717848 14791612
959,14786237 15697082 14854565 14785418 112 98 101 102 119 110 52,14786237 15697082 14854565 14785418,14847385 14844587 14848641 14847398
960,14786452 14717884 15710612 14844578 14791826,51 54 53 51 53,14726332 14728344 14854542 14844591
961,74 54 70 39 54 41 54 42 14853038 14791609 15710881 14785469 14859956 14846135 42 74 54 70 15710881,15706282 15636660 15706241 14847916 14976902 14859143 14846102 15706282 14925454 14976902 14848931 15630741,14786237 15697082 14722731 14924977
962,14859143 14846116 15706291 14786217 15632285 15706266 88 110 104 116,14786217 15632285 15706266 14846102 15636660 14854817 14925479,14783134 15697333 14854817 14925479
963,14785422 14851239 14720179 14783914,14720179 14783914,14844856 14724258 14925237 14854807
964,96 98 115 83 98 127 115 83 104 81 104 110 100 98,102 105 99 117 104 110 99,14925756 15639967 14853254 14728639
965,14846601 14925757 14849963 14844318,14717871 14925193 14852752 14924977 14925738 14780567 14924188 14720387 14849963 14844318 14847384 15697082,14783134 15697333 14854817 14925479
966,14852794 14846383 14860175,14925757 14717871 14782384 14780567 14924188 14721158 14925245 14846383 14860175 14925709 15634607 14785418 14847398,14924216 14781104 14717848 14791612
967,67 84 64 75 88 93 94 88 70 73 67 85 72 78 67,14794687 14782344 14844290 15706282 15636660 15697549 14853038,14794687 14782344
968,14855837 14780044 14925219 14846092,14855837 14780044 14925219 14846092,15632285 15706536 14721977 14925219
969,116 110 105 96 112 104 117 107 99,76 83 81 14859667 14717871,14858934 15636660 15704193 14849963
970,14858115 15637650 15699126 15637635 14924711 88 78 72 84,14853024 14850444 52 67 74 74 72 85 87 64 14782092 14794687,14794687 14782344
971,14794385 14846608 14717874 14923942 14853021 14857864 14925205 14847407 102 105 99 117 104 110 99 14724264 84 67 76,14728350 14724011 14925710 14782910 14780567 14924188 15706282 15636660 15710891 14844318 15697082 14847388,14856354 14844592
972,15638189 14782358 88 102 105 99 117 104 110 99,14853303 15636660 14721977 14925219,15632285 15706536 14721977 14925219
973,14846610 14785469 14716559,14715319 14851005 14723494 14718849,14847385 14844587 14848641 14847398
974,14721212 14847407 14794687 14782344 14853024 14846338,14925757 14925185 14782626 14860223 14717848 14791612 14720387 15637383 15704454 15697803 15706553 15706534,14794687 14782344
975,102 101 100 41 102 110 14854817 14925479 14785469,14844591 14782903 14847873 14721468 14859144 14783134 14854817 15710888 14924977 15252363 14785720 14924964 14924711 14728344 14854817 14925479 14785469 15252363 14925705 14925738 14858120 14854817 15699126 15706282 15706297 14785451 14849931 14789282 15252363 14782903 14716559 14925703 15696052 14925466 14859955 14728608 14844591 14844299 15252363 15638179 14844591 15704228 14785422 14853303 14714302 15706300 14847384 15697082 14853009 14782358 14924971 14853529 14847399 14925185 14925245 14856354 14786237 15697082 15252363 15638147 14847406 14854817 15252363 14786237 15697082 14727356 15706262 15252363 15710888 14924977 14853002 15706300 14785469 14849419 14723987 15706551 14847384 15697082 15252363 14846120 14850991 15706297 14785451 14924988 14779272 14924426 14727849 14845597 14723987 15706551 15252363 14846132 14925709 15704213 14786237 15697082 15042459 14858120 15706266 14848935 15042458 14782631 14782087 14925706 14719138 14925705 14779823 15710654 14854817 15710654 15697549 14976901,14783134 15697333 14854817 14925479
976,14792334 15706282 14854800 15706250 14844607,14781627 15636660 14792334 14854800 14846102 15636660,14783134 15697333 14854817 14925479
977,100 104 106 41 116 125 116 102 125 105 41 98 105 96 107 110 116 111,14846091 14854542 14786237 14844315 14924701 14849695 14848641 14850185 14726332 14728344,15709098 14716590 14924703 14779559
978,14779815 14779815 15706282 15636660 14785469 14851759 14925245,14925757 14924678 14925725 14780567 14924188 14717871 14782384 14854334 14925216 14849158 14720387 15637383 14792325 15252363 14925757 14717871 14782384 14780567 14924188 14924678 14925725 14786237 15697082 15706266 15706282 15636660 14786237 15697082 14785418 14847398,14786237 15697082 14722731 14924977
979,14851257 14925473 15638913 14785469 14851759 14925245 14859667 14717871,14851257 14925473 15638913 14853024 14846338 14924472 14717871,14782903 15634620 15638402 15706300
980,126 114 105 109 110 88 99 98 107 110,14714302 15639447 14785469 14851759 14925245,14924216 14781104 14717848 14791612
981,127 110 102 104 115 104 105 96 88 87 102 117 115 42 78,15706282 15636660 14721468 14728632 14849722 14924963 15706250 15706241 14847916,14856354 14844592
982,14717874 14923942 15637633 14851237 88 102 105 99 117 104 110 99,14925709 14791344 14847385 15700380 15639705 33 105 101 116 119 60 14782092 14785469 15252381 54 63 49 54 49 52 63 63 62 53 63 15252380 33 105 101 116 119 60 14717874 15706266 15252381 55 53 54 42 50 63 52 54 63 55 54 54 33 105 101 116 119 60 14924711 14719896 15252381 55 50 50 54 42 49 50 52 55 62 55 62 52 33 105 101 116 119 60 66 106 102 110 107 40 74 84 73 61 97 98 110 127 114 98 71 110 97 107 126 115 98 108 41 100 104 106 33 105 101 116 119 60 14717874 14923942 15637633 14851237 14853038 14727355 14854565 14785418 14782092 14785469 14854565 14782384 14724264 15252363 14717876 15706288 14924472 14717871 14782358 14924971 14854542 14846612 14849419 78 72 84 14716559 14785451 14720387 15706282 15636660 15710891 14844318 14849419 15706282 15636660 14849935 14782359,14856354 14844592
983,87 66 87 42 98 105 96 107 110 116 111 88 110 104 116,14858120 14854817 15699126 15706282 14714302 15706300 15706297 14785451 15252363 15637633 14849935 14925185 14714302 15706300 14976902 14858898 15636660 14976902 14925473 14844318 14976902 14791308 15706258 14976902 14854800 14844607 14723726 14847384 15697082,14783134 15697333 14854817 14925479
984,67 117 102 96 104 105 73 98 116 115 70 105 99 117 104 110 99,111 98 105 111 102 104 112 102 105,14794687 14782344
985,15706282 15636660 15706241 14847916 88 126 106 100,15706282 15636660 15710891 14782848 14854800,14856354 14844592
986,15706300 14925473 14783914 14781858,15638402 15706300,14782903 15634620 15638402 15706300
987,14925227 14925723 14846091 14857864 14783409 15635633 14785469,14925227 14925723 14846091 14857864 14783409 15635633 14785469,15630486 15702410 14718849 15709093
988,107 104 113 98 117 104 101 104 115 88 102 105 99 117 104 110 99,14721977 14846909 14785418 14847398 14785469 14851759 14925245,14786237 15697082 14722731 14924977
989,14858412 15632277 14847406 14782092 14925716 14717871 14716559,14925757 14858412 15632277 14849695 14780567 14924188 14782910 14924216 14858412 14781104 14720387 14859667 14717871 14924436 15641995,14924216 14781104 14717848 14791612
990,14925206 15638402 14782848 14854817 88 102 105 99 117 104 110 99,15042459 14925206 15638402 14782848 14854817 15042458 14925716 14791855 14925193 14721212 14847407 14925205 15697555 14727830 14720387 15638402 15706300 14849158 14716555 15252363 15696051 14847388 14925193 14925757 14717871 14782384 14847900 15632295 14782910 14924216 14976902 14858412 14781104 14720387 14721212 14847407 15638402 15706300 14782903 14924436 15641995 14976901,14782903 15634620 15638402 15706300
991,14844856 14724258 15699126 15706282 15706241 14847916 88 14854542 14846612,14925757 76 54 53 14854817 14717848 14720387 15699126 15706282 14846102 15636660 14845597 15706282 15636660 15706241 14847916,14783134 15697333 14854817 14925479
992,15710394 14925473 14721689 14851759 88 110 72 84,14976909 15710394 14925473 14721689 14851759 92 54 90 39 39 14976908 14786472 14925703 14789561 14785415 14782903 14785415 14858412 14785415 14844591 14720387 14858120 15706291 14854331 15706300 14847406 14782092 15252363 14791090 14720145 14849923 14853024 14727830 14724254 14785415 14714540 14720387 15710361 15710906 14858120 15706291 15252363 14785415 14846093 14782641 14720387 15710361 15710906 14785715 14782903 14780567 14721981 15252363 14785415 14785422 15708580 14720387 14925741 14780320 14786971 14846610 14780847 15698583 15252363 14858120 15706291 15638402 15706300 14858370 14852992 102 119 119 14976901,14782903 15634620 15638402 15706300
993,102 110 114 110 88 107 110 105 114 127 88 116 99 108,102 110 114 110 88 107 110 105 114 127 88 116 99 108,14856354 14844592
994,14727356 15706262 14854559 88 110 72 84,14924959 15709118 14716559 14720387 14727356 15706262 14859667 14717871,14783134 15697333 14854817 14925479
995,15710363 15699885 14716590 14791302 102 119 119,15710366 14925741 14859667 14717871 14786472 14717871 14925193 14782910 14924216 14716590 14791302 14844587 14846143 14924472 14717871 14720387 14859143 14721711 14924962 14846093 14720159 15709088 14720387 15710888 14924977 15252363 14717878 14925193 14716590 14791302 15705739 14925725 14925738 15697798 14859955 14925245 14788755 15710596 14853021 15252363 15697803 14925715 14856354 14924443 14715304 14853508 14788755 15710596 14851983 14785157 15252363 14924945 14924971 14850991 14924472 14717871 14782124 14780552 15706553 14852992 15710364 15705739 15709088 14716590 14782124 14780552 14720387 14782641 14845854 15252363 14845568 14852485 15709088 14716590 14788755 15710596 14853021 14720387 14782641 14845854 15252363 14852485 14784923 14792102 14785422 14853303 15636660 14780567 14721981 15252363 14924945 14924971 15710367 15637383 15704454 14784674 14719884 14788744 14925703 14721711 15709088 14716590 14720387 14847927 14724254 15252363 14713777 14849929 15710364 15705739 14847873 14726844 15252363 14852485 14784923 14785422 14853303 15636660 14780567 14721981 15252363 14924945 14858166 14925706 15637383 15704454 14784674 14719884 14788744 14925703 14721711 14720387 14847927 14724254 15252363 15710366 14788528 14924701 14784902 14853024 14720387 14780567 15641759 14856354 14924443 14783119 14715264 14976901,14924216 14781104 14717848 14791612
996,14788235 15637157 14854567 14716590 14785469 14851759 14925245,54 14976902 14788542 14781097 14785451 14844587 14846143 14854817 14925479 14859667 14717871 14720387 14854557 14847921 15252363 14859154 14854331 14717871 14782384 14924472 14717871 14859667 14717871 15630475 14720387 14847384 15697082 14849419 14783626 14924443 14976901 53 14976902 14924711 15710649 14726332 14728344 14923942 14780072 14925705 15632285 14719138 14923942 14780072 15252363 14924472 14785469 14851759 14925705 14717871 14782384 14720387 14925219 14925205 15710336 14725004 14785715 14785422 15708580 14849716 14780320 14976901 52 14976902 15706241 14847916 14717871 14782384 14720387 15706282 15636660 14859953 14781326 15696045 14854557 14925454 14720387 14851005 14786216 15704228 14844340 14782910 14788239 15252363 14925741 14780320 14846865 14850999 14780847 15632262 14720191 14844596 14854557 14847921 14844290 14854590 14782353 14925219 14925205 14847407 14924443 15252363 14846850 14781611 15706282 15636660 14720387 14925219 14925205 14976901 51 14976902 15697082 15710364 15705739 14723463 14846610 14720387 14720697 14721174 14719138 15706241 15634601 15639967 15634601 14723731 14976901 50 14976902 14858626 14925195 14785432 14859143 14846102 14976901,14794687 14782344
997,75 110 105 127 110 102 104 115 102 104,14791308 15706258,14794687 14782344
998,106 126 42 117 104 101 104 115,14786237 15697082 14785469 14851759 14925245,14786237 15697082 14722731 14924977
999,14847414 14789282 15641235 14847388 14724258 15699126 15706282 88 110 72 84,14844856 14724258 14854817 14925479 15699126 15706282 14852794 14860201 14782092 15252363 15699126 15706282 15638402 15706300 14976902 15696045 14713777 14781627 15706300 14924962 14846093 14844856 14724258 15704193 15639958 14783914 14783417 14723726 14847384 15697082 14976901,14783134 15697333 14854817 14925479
1000,14849723 14846124 14925738 14858372 52,14786237 15697082 14717874 15635335 14925216 14849158,14847385 14844587 14848641 14847398
1001,14786237 15697082 14785469 14851759 14925245 70,14854577 14859690 15638189 14781859 14785469 14851759 14925245 14849419 14783134 15697333 14785469 14851759 14925245,14786237 15697082 14722731 14924977
1002,78 105 115 98 117 102 100 115 110 113 98 68 111 102 115,14785422 14786237 15697082 14854334 15706266 14847384 15697082 14720387 14844856 14724258 14785469 14851759 14925245,14786237 15697082 14722731 14924977
1003,14783159 14854800 15639939 15638453 14780834 14721162 14723494 14718849 14726332 14728344,14717871 14925193 14846908 14717328 14785469 14784899 14780821 15638424 14846124 14846128 14849419 14849723 14846124,15710359 14847407 14845602 14859696
1004,85 98 106 104 115 98 68 104 105 115 117 104 107 53,15710881 15710593 14716337 14780294 14786489 14721981,14924216 14781104 14717848 14791612
1005,84 104 105 110 100 87 107 102 126,14791302 14855573 14924436,14858934 15636660 15704193 14849963
1006,15630486 14716555 14849948 88 14854542 14846612,14925703 14925741 14723463 14846610 14720387 14859667 14717871,14783134 15697333 14854817 14925479
1007,14791344 15706250 15706250 14844607 70 105 99 117 104 110 99,15706282 15636660 15706241 14847916 15710612 14844578 14784674 15706277,14783134 15697333 14854817 14925479
1008,14717874 15635335 14785469 14851759 14925245 102,14717874 15635335 14785469 14851759 14925245 102,14847385 14844587 14848641 14847398
1009,14783409 15635633 52 41 55,15632261 14717871 14925193 14782653 87 104 116 14846093 70 105 99 117 104 110 99 14782092 14785469 14720387 14783409 15635633 14783400 14924959 14846093 14854334 15709089 14859956 14846135,15630486 15702410 14718849 15709093
1010,14779572 14726836,14783409 15635633 14785469 15252363 15630986 14849935 14925245 14856354 14786237 15697082 14781831 14785448 14854553 14715319 14925245 14856354 14786237 15697082 14783409 15635633 14785469 15252363 15706542 14717871 14782384 14717871 14720387 14785715 14778517 14976902 14785715 14716858 14976902 14785715 14859197 14853024 14976901,15630486 15702410 14718849 15709093
1011,100 104 106 41 104 105 98 96 104 41 117 104 101 104 115 54,14782653 14784923 14791308 15706258,14794687 14782344
1012,100 104 106 41 127 50 41 99 98 106 104,41 41 41 41 41 41 41,14844593 14924945
1013,14858630 15632275 53 14782092 14794687 88 110 104 116,14853024 14850444 14851258 14782367 87 76 14726844 14782092 14794687 15252363 14925756 15704454 14726332 14728344 14925757 15705218 14852992 14976902 15642283 14846910 14976902 14924988 14847398 14976902 14852794 14846092 14976902 14854577 14782600 14976902 14860201 14924701 14976902 14851258 14854577 14723726 14976902 14925756 15704454 14715310 14791826 14925757 14788744 14782626 14791612 14847407 14976902 14854577 14782600 14782367 14976902 14860201 14924701 14782367 14976902 14851258 14782367 14723726 15252380,14794687 14782344
1014,15697796 14722963 15706250 14792320 88 102 105 99 117 104 110 99,14925716 15634607 14925757 53 55 54 49 14859955 15697796 14722963 15706553 15706534 14720387 14846610 15706250 15706551 14858369 15710888 14924977 14976901 54 41 14846610 15706250 14846120 14924962 14847911 14719623 15697035 14925703 14925741 15637145 14860223 14854553 14717871 14785422 14783119 14720387 14846610 15706250 15706551 14858369 14791826 14976901 14781837 15697035 14924701 14720387 14846610 15706250 14847911 14780814 15252363 14781837 14847662 14924446 14720387 14846610 15706250 14847873 14726844 14976901 15710366 14788528 14846610 15706250 14858166 14924701 15708557 15697035 15708557 14858134 14976901 53 41 15699641 14854585 14791342 14782888 15706551 14858369 14791826 15697035 15710336 14720387 14846610 15706250 14924701 14850991 14724011 50 14847873 15635864 15252363 52 55 14847873 15635864 15252363 54 53 14858120 14782641 15252363 54 14853038 15252363 53 14853038 15252363 51 14853038 15252363 48 14853038 15252363 54 50 14853038 14844298 14789542 14844093 14715319 14976901 14728328 15710336 14925703 14925741 15706551 14858369 14849711 14785432 15252363 14846610 15706250 14858166 14858639 15637945 14844298 14858399 14780814 14976901 14859453 15706537 15697035 14788744 14925741 14846610 15706250 14720387 14782641 14845854 14925706 15704454 15699382 14853037 14853021 14720387 14782641 15634611 14976901 52 41 14858665 14850444 15706250 14844607 14925706 14924930 14846120 14924962 15697035 14846610 15706250 15710367 14846120 14924962 14784674 14846610 15706250 14976901 15710612 14844578 14846610 15706250 14782353 14792334 14854800 14858166 14846120 14924962 15710338 15632280 14784674 15706277 14844093 14846610 15706250 14847888 15705775 14976901 51 41 14717848 15706250 14785451 14781837 14854817 14925479 15710336 14725004 14925738 15632000 14847927 14720387 14846610 15706250 15706551 14925708 14785186 14976901,14783134 15697333 14854817 14925479
1015,14786237 14925228 14925206 14849723 48,14859143 14846102 14720387 14786237 15697082 15706282 15636660 15632285 15706536 15697549 14853038 14726332 14728344 15252363 14856373 14728328 15637157 14849942 14860165 14851005 15252363 15637383 15704454 14849931 14782641 14853021 14789542 15710084 14717871 14721174 14853024 14720387 14780834 14846116,15632285 15706536 14721977 14925219
1016,14785469 14851759 14925245 14791308 15706258,14717871 14925193 14785469 14851759 14925245 15706282 15636660 14791308 15706258,14786237 15697082 14722731 14924977
1017,14727561 15639963 14720191 14785469 126 98 116,14727561 15639963 14720191 14785469,14924216 14781104 14717848 14791612
1018,112 98 102 115 111 98 117 88 100 104 106 41 115 100 111 110 119 41 112 98 102 115 111 98 117,14783914 14781858 14854557 14924426 14850185 14860165 14853038 14792595 14976901,14924216 14781104 14717848 14791612
1019,14845595 15710881 15632285 47 14786237 15697082 14925756 14785469 14716559 46,15710366 14786472 14925703 14852752 14854539 14783155 14720387 14845595 15710881 14851005 15710888 14924977 15630986 14852752 15706553 14782906 43 14858900 14785422 15710881 15710593 15710364 14844578 14845595 15710881 14851005 43 14782358 14924971 14720387 14725004 14859656 14858113 14783914 14781858 15710881 14716555 14846128,14924216 14781104 14717848 14791612
1020,111 104 116 119 110 115 102 107 88 102 105 99 117 104 110 99,14925703 14925741 14846102 15636660 14791308 15706258,14924216 14781104 14717848 14791612
1021,102 114 99 110 104 88 115 104 88 115 98 127 115 88 99 98 106 104 88 110 104 116,14854817 14925479 14925708 14721174 14853024 15706536 15639705 14720387 15706282 15636660 15710891 14782848 14785451 14720387 116 99 108,14856354 14844592
1022,79 98 105 96 68 111 98 105 88 80 110 105 100 98,15710881 15710906 15706282 14714302 15252381 14717874 15706266 14976902 14854331 15699885 14976902 15636660 14925463 14849419 14783409 15636660 14785469,14786237 15697082 14722731 14924977
1023,14787259 14858120 14786452,14787259 14858120 14786452 14721212 14847407 14728335 14724264,14844093 15705739 14854331 15699885
1024,14845834 15632280 15706297 14854021 42 110 72 84,14845834 15632280 15706297 14854021 15252363 14925703 14789561 14925709 14846596 14925696 14854817 14717848 15631546 14716854 14717871 14720387 14844554 15709118 14854817 14925479 15710888 14924977 14976901 14847898 14858372 14925706 14846111 15252363 14782358 14924971 14852236 14728335 14850717 14781318 14785418 14847398 14925193 14854817 14717848 15252363 14860171 14785436 14728350 14788744 14924426 14854817 14717848 14860193 14785186 14785715 14844591 15637157 14976902 14785715 15641759 14783119 14976902 14785715 14786237 15697082 14720387 14854817 14925479 14924436 15641995 14976901 39 39 14847384 15697082 14925225 14714302 15252381 54 41 39 15699126 15706282 14714302 15706300 14976902 15699126 15706282 14846610 15706250 14976902 14858120 14854817 14717848 14854800 14976902 15706297 14782848 14785424 15706300 14723726 15708546 14854553 14717871 14854817 14925479 14858120 14856354 14844592 15252363 14846116 14722454 14716801 14787741 15252358 15637896 14782641 15637896 14850999 15631546 15697082 14854817 15252358 53 41 39 15708580 14849716 14847407 14717884 15706297 14725004 14976902 14859143 14786441 14854817 14925479 14858934 15638181 14976902 14726585 14849158 14858898 14783914 15706297 14723726 14849931 14789282 14783134 14785175 15706297 14725004 15252363 15710908 14785209 14854817 14925479 15252363 14849677 14847916 14784936 14712994 15706297 14854021 15252358 52 41 39 14718852 14718852 14854817 14846610 15706250 14976902 14717352 14716037 14847872 15635358 14854800 14976902 15706256 15706250 14858120 15710649 14925245 14723726 15706542 14852495 14852495 14783417 14858372 14720387 14854817 14925479 14858120 14794687 14782344 15252363 15710654 14715310 15710654 15706551 15252363 14854817 14925479 14782631 14846348 14847388 15252358 51 41 39 14854817 14925479 14717871 14849158 14925706 14717871 14779270 15252363 14788744 14782626 14924988 14847398 14858640 14721192 14847873 15252363 14721192 14847873 14858166 14846120 14781093 14721979 14849158 15252358 14845834 15632280 15706297 14854021 15252363 14852794 14717871 14847927 15639705 15708848 14785186 121 14723726 14924455 14849185 121,14783134 15697333 14854817 14925479
1025,15702410 66 14783409 42 14846369 15634607 15635633 15705739,15702410 66 14783409,15630486 15702410 14718849 15709093
1026,15701146 14716574 14858120 14726585 14714546 88 110 72 84,15701146 14716574 15706282 15636660 14847406 14782092 15252363 14783400 14781318 14848950 14789259 15252363 14844856 14724258 14783134 15697333 15252363 14846850 14781611 15706256 14789259 15634601 14723731 15252363 14782359 15706282 14780834 15645086 15252363 14844856 14724258 14783106 14925196 15252380 15630486 15702410 15252363 14782903 15634620 14723726 14782910 15637157 14720387 15634601 14723731 14854334 15706266 14976901,14924216 14781104 14717848 14791612
1027,15642283 14782136 15699126 15706282,15642283 14782136 15699126 15706282 102 119 119 14786472 14925703 14789561 14783134 15697333 14726844 102 119 119 43 14925756 15704454 14786472 15706542 14925738 14858120 14854817 14717848 14850991 102 119 119 14925709 14845597 15639967 14780567 14924188 14782910 14924216 41,14783134 15697333 14854817 14925479
1028,106 116 101 101 88 102 105 99 117 104 110 99,15697549 14853038 15706282 15636660,15632285 15706536 14721977 14925219
1029,107 98 127 117 104 101 104 115 88 115 63 55 55,14925237 14854807 14925216 14849158,14786237 15697082 14722731 14924977
1030,126 115 100 102 107 107 88 102 110 88 102 116 117,15708039 15632285 14786237 15697082 15706282 15636660 14785469 14851759 14925245 15640254 14720169,14786237 15697082 14722731 14924977
1031,14858665 14848641 15710612 14844578 14791826 14791308 15706258,14925757 14717871 14782384 14780567 14924188 15710612 14844578 14847384 15697082 43 39 15635855 14854334 14858665 14848641 14717871 14782384 14780567 14924188 14716075 14724236 14847384 15697082,14726332 14728344 14854542 14844591
1032,15645086 14925452 14859964 14779572 55 51 55 62,14717871 14925193 14715310 14854577 14850991 15697549 14853038 14726332 14728344 15710364 15705739 15706282 15636660 14925219 14925205,15632285 15706536 14721977 14925219
1033,85 98 115 98 107 107 98 117,14846115 14782848 14849930 14846114 14854334 14723731 14859667 14717871,14783134 15697333 14854817 14925479
1034,14786237 15697082 14858120 14721711 14782100 14846647,14782100 14846647 68 14782124 69 14858120 14721711,14844093 15705739 14854331 15699885
1035,15642297 15642289 14849695 14854542 14844591 14854817 14925479 14859956 14846135 102 105 99 117 104 110 99 14716559 14785451,14925757 14859960 14853024 15642297 15642289 14849695 14785420 14846092 14780567 14924188 14728350 14854542 14844591 14719138 15706241 14854817 14925479 14720387 14859956 14846135 15252363 14846850 14781611 14718849 15706557 14854817 14925479 14976902 15704193 15639958 14854817 14925479 14976902 14854542 14844591 14854817 14925479 15706551 14858898 14976901,14783134 15697333 14854817 14925479
1036,14781627 15636660 15706241 14854800 14854554 14844607,14781627 15636660 15632280 14782359,14783134 15697333 14854817 14925479
1037,14924678 14784674 14784674 88 102 105 99 117 104 110 99,14924678 14784674 14784674 14786472 14925703 14789561 14785418 14847398 14853024 14924688 14720387 14924678 14925725 14923942 14780072 14784674 15706277 14856354 14844592 15252363 14782910 14924216 14717871 14782384 14781326 14853021 14721162 14728371 14859681 47 14924678 14925725 14849930 14721207 15252363 14791826 14925245 14924964 15705775 15252363 15697318 14925723 14846093 15706254 15706555 15252366 14854553 14782641 14784674 15706277 14924678 14925725 14720191 14844596 14720387 14856354 14848641 14720700 15706551 14923942 14780072 15252363 14859955 14781858 15252363 15697318 14925723 14923942 14780072 15252363 14781842 15708803 14925245 14923942 14780072 15252363 14791054 15706254 15252363 14853046 14923942 15252363 14781602 14785422 14848641 14788480 15252363 14719138 15706241 14925216 14785156 15252363 14924678 14925725 15706246 14925473 15252363 14925756 15704454 14925245 14849695 14923942 14780072 15252363 14846111 14785715 15706551 14858898 14723726 14923942 14780072 14976901 39 14717871 14782384 14849931 14782641 14846120 14924962 15635855 14854334 14924678 14925725 15710364 15705739 15706243 14924976 14849419 14783409 15700104 14976901 15706274 14856354 14844592 14720169 14847626 15704449 14720145 14844591 14851258 14849923 14719878 14720387 14924678 14925725 14923942 14780072 14976901,14847385 14844587 14848641 14847398
1038,15708546 14719412 84 67 76 14789284 14859144 14716559,15708546 14719412 14789284 14859144 14716559,14856354 14844592
1039,14852794 15632277 14858412 15632277 14849695 88 78 72 84,14976919 14925216 14849158 14924940 14728330 14976918 39 39 39 39 14852794 15632277 14858412 15632277 14849695 15252363 14786472 14852794 15632277 14844587 14846143 14925757 14858412 15632277 14849695 14845881 14847388 14782100 15632295 14720387 14793894 15708596 14844593 14780567 15641759 14856354 14924443 14783119 14715264 14849419 15708829 15635894 15637383 14792325 14720387 15710888 14924977 15252363 14844592 14785422 14853038 14853038 15708829 14853009 14858412 14976902 14844554 15709118 14846102 14719146 14923942 14976902 14844554 15709118 14846102 15706282 15636660 14976902 14791609 14924977 14723494 14718849 14976902 14847873 15630986 14846850 15705278 14976902 14854565 14782384 14723494 14718849 14976902 14925245 14849695 14723494 14718849 14723726 14850991 14728632 14847384 15697082 15252363 14856373 14782359 14925757 14925185 14858412 15632277 14849695 14785715 14925757 14782910 14924216 14858412 14781104 14720387 14723494 14718849 14859667 14717871 14849419 15708829 15635894 14721689 14851759 14976901 14976919 14716606 15699637 14847384 15697082 14976918 14925700 15640254 14716606 15699637 14859667 14717871 14847384 15697082 15252363 14728350 14924455 14860193 14785186 14782631 15638167 14924216 14781104 14924436 15641995 15252381 56 54 14976902 14844554 15709118 14727587 14846102 14719146 14923942 14849419 15706282 15636660 15252381 14846093 14782641 14780567 15630741 14783409 14924977 14925245 15252363 14791609 14924977 14925706 14720698 15708310 15252363 14782359 14785451 15638154 14785715 14924425 15252380 53 14976902 14846097 14924977 14924988 14847398 15252381 14846093 14782641 14783409 14846097 14849711 15710654 14854565 14782384 15632285 15710336 14852794 15632277 14844593 14924945 14854565 14782384 14724264 14846102 14785186 14720387 14854275 14924977 15637383 14792325 15252363 15710908 14785209 14780567 14846592 14925725 14847398 15630472 15252380 52 14976902 14791609 14924977 14924988 14847398 15252381 14782124 14780552 14780567 15709088 15252363 14791609 14924977 14723494 14718849 14849419 15704195 14847893 15252380 51 14976902 15708829 14853009 14858412 15252381 15631751 15706288 14858412 15632277 14849695 14782359 14847384 14791855 14844299 14852794 15632277 15252363 14724236 14852753 14715319 15630486 15252358 50 14976902 14854565 14782384 14723494 14718849 15252381 14925703 15635369 14923930 14854815 14854565 14782384 15252363 14782910 14924216 15637896 14782641 15697555 14726332 15252380 49 14976902 14724254 14714302 14853021 15704213 15699637 15252381 14783400 14781318 14858412 15632277 14724254 14714302 14976902 14724254 15635128 15252363 14849929 14847139 14853021 14721162 15704213 15699637 14924472 14717871 15252363 14847873 14856354 14785715 14786441 14722729 15252363 14783626 14924443 14785715 14782910 14924216 14976901 56 48 14976902 14924964 14783409 14724254 14714302 15252381 14783400 14781318 14721977 14846909 15634607 14859664 14859143 15632285 14924964 14783409 14976902 14791609 14846850 15705278 14785418 14847398 15252363 14716037 14846640 14849711 15710654 14854565 14794135 15252363 15708837 14846097 15645827 15630486 14848641 14785469 15252358,14924216 14781104 14717848 14791612
1040,94 94 84 69 15706282 15636660 15706241 14847916 88 62,94 94 84 69 15706282 15636660 15706241 14847916 88 62,14856354 14844592
1041,74 126 83 98 116 115 54 54 54 54,115 98 116 115,14847385 14844587 14848641 14847398
1042,14925716 14846609 14859664 14854331 15709098 14785469 14851759 14925245,14850991 14853024 14850444 14848641 14851005 14782353 15697794 14925716 14846609 14859664 14720387 14854331 15709098 14785469 14851759 14925245 15252363 15697082 14853016 14859154 14854331 15640249 14854565 15710364 15705739 14848641 14849158 15709098 14925495 15252363 15710364 15705739 14723463 14846610 14720387 15706282 15636660 14925219 14791302 15252367 14846850 14781611 15706282 15636660 15706241 14847916 14849419 15706282 15636660 14849935 14782359 15252366,14786237 15697082 14722731 14924977
1043,14786237 15697082 15638402 15706300 14785469,15696045 14847407 15706300 14844318,14856354 14844592
1044,80 110 105 99 104 112 116 88 15710647 14786456 14785469 14851759 14925245,15632285 15710336 15706282 15636660 15706241 14847916 14717871 14782384 15706291 14844093 14720387 15706266,14786237 15697082 14722731 14924977
1045,14786452 14717877 14786217 15632285 15706266 88 70 105 99 117 104 110 99,14786452 14717877 14786217 15632285 15706266 39 70 119 119 39 70 105 99 117 104 110 99 39 14859956 14846135 14716559 14785451,14783134 15697333 14854817 14925479
1046,14721174 14853024 15706536 15639705 15706282 15636660 14728324 14925479,14728324 14925479 15706282 15636660 15706241 14847916 14849419 14849935 14782359 116 99 108 14720387 14924472 14717871,14856354 14844592
